0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=6, num=0) -> 0x3000001555800060
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=8, num=0) -> 0x3000001555800160
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x3000001555800260
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=24, num=0) -> 0x3000001555800360
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=72, num=0) -> 0x3000001555800460
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=6, num=0) -> 0x3000001555800070
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=8, num=0) -> 0x3000001555800170
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x3000001555800270
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=24, num=0) -> 0x3000001555800378
2 (realloc): (ptr=0x3000001555800378, root=0x1623718, md=(nil), size=48, num=0) -> 0x3000001555800560
2 (realloc): (ptr=0x3000001555800560, root=0x1623718, md=(nil), size=72, num=0) -> 0x3100001555800660
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=72, num=0) -> 0x31000015558006c0
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=6, num=0) -> 0x3000001555800080
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=8, num=0) -> 0x3000001555800180
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x3000001555800280
5 (free): (ptr=(nil), root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=(nil), root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=3, num=0) -> 0x3000001555800560
5 (free): (ptr=(nil), root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=(nil), root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=(nil), root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=(nil), root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=14, num=0) -> 0x3000001555800860
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=2, num=0) -> 0x3000001555800960
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x3000001555800290
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=14, num=0) -> 0x3000001555800870
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=2, num=0) -> 0x3000001555800970
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x30000015558002a0
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=14, num=0) -> 0x3000001555800880
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=2, num=0) -> 0x3000001555800980
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x30000015558002b0
5 (free): (ptr=0x3000001555800870, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x3000001555800970, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x30000015558002a0, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x1e399b0, root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=31, num=0) -> 0x3000001555800a60
5 (free): (ptr=0x1e399f0, root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=14, num=0) -> 0x3000001555800870
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=2, num=0) -> 0x3000001555800970
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x30000015558002a0
5 (free): (ptr=0x3000001555800880, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x3000001555800980, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x30000015558002b0, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x1e399d0, root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=14, num=0) -> 0x3000001555800880
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=2, num=0) -> 0x3000001555800980
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x30000015558002b0
5 (free): (ptr=0x3000001555800870, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x3000001555800970, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x30000015558002a0, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x1e399b0, root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=19, num=0) -> 0x3000001555800b60
5 (free): (ptr=0x3000001555800b60, root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=19, num=0) -> 0x3000001555800b60
5 (free): (ptr=0x3000001555800b60, root=(nil), md=(nil), size=0, num=0) -> (nil)
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=14, num=0) -> 0x3000001555800870
0 (malloc): (ptr=(nil), root=0x1623718, md=(nil), size=2, num=0) -> 0x3000001555800970
2 (realloc): (ptr=(nil), root=0x1623718, md=(nil), size=16, num=0) -> 0x30000015558002a0
5 (free): (ptr=0x3000001555800880, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x3000001555800980, root=(nil), md=(nil), size=0, num=0) -> (nil)
5 (free): (ptr=0x30000015558002b0, root=(nil), md=(nil), size=0, num=0) -> (nil)
